City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
215,Panjab,AF,2022-09-07 04:02:19,clear sky,34.388,67.0233,61.77,21,0,2.15
216,Torbay,CA,2022-09-07 04:02:19,overcast clouds,47.6666,-52.7314,56.75,92,100,11.68
217,Mashhad,IR,2022-09-07 04:02:20,clear sky,36.297,59.6062,73.54,40,0,4.61
218,Lorengau,PG,2022-09-07 04:02:20,overcast clouds,-2.0226,147.2712,85.41,65,98,7.63
219,Beyneu,KZ,2022-09-07 04:02:21,overcast clouds,45.3167,55.2,63.07,46,96,8.12
220,Vila Velha,BR,2022-09-07 04:02:22,overcast clouds,-20.3297,-40.2925,69.94,71,94,3.0
221,Sungairaya,ID,2022-09-07 04:02:22,overcast clouds,0.7,108.9,88.25,59,87,4.27
222,Aksarka,RU,2022-09-07 04:02:23,overcast clouds,66.5606,67.7975,37.35,93,100,9.46
223,Chapais,CA,2022-09-07 04:02:23,clear sky,49.7834,-74.8492,55.27,71,8,2.8
224,Asosa,ET,2022-09-07 04:02:24,overcast clouds,10.0667,34.5333,59.16,93,100,3.09
225,Chickasha,US,2022-09-07 04:00:36,clear sky,35.0526,-97.9364,79.14,50,0,7.34
226,Ino,JP,2022-09-07 04:02:24,scattered clouds,33.55,133.4333,88.11,60,41,1.52
227,Altay,CN,2022-09-07 04:02:25,clear sky,47.8667,88.1167,83.32,14,1,5.48
228,Bandarbeyla,SO,2022-09-07 04:02:25,broken clouds,9.4942,50.8122,77.74,68,68,28.41
229,Ribeira Grande,PT,2022-09-07 04:02:26,moderate rain,38.5167,-28.7,76.78,83,99,18.34
230,Ust-Uda,RU,2022-09-07 04:02:26,overcast clouds,54.1742,103.0304,52.5,89,100,0.78
231,Bintulu,MY,2022-09-07 04:02:26,overcast clouds,3.1667,113.0333,85.86,63,100,1.74
232,Buraydah,SA,2022-09-07 04:03:27,clear sky,26.326,43.975,87.3,12,0,3.09
233,Agogo,GH,2022-09-07 04:03:27,overcast clouds,6.8,-1.0819,67.24,99,95,3.51
234,Coshocton,US,2022-09-07 04:03:28,overcast clouds,40.272,-81.8596,66.54,94,87,6.04
235,Kavaratti,IN,2022-09-07 04:03:28,overcast clouds,10.5669,72.642,80.28,81,100,20.51
236,Bairiki,KI,2022-09-07 04:03:28,scattered clouds,1.3292,172.9752,86.0,62,40,12.66
237,Nioro,GM,2022-09-07 04:03:29,overcast clouds,13.35,-15.75,75.92,96,100,5.64
238,Nurota,UZ,2022-09-07 04:03:29,clear sky,40.5614,65.6886,77.47,27,0,9.84
239,Vanimo,PG,2022-09-07 04:03:30,overcast clouds,-2.6741,141.3028,84.43,70,100,8.1
240,Severo-Kurilsk,RU,2022-09-07 04:03:30,overcast clouds,50.6789,156.125,55.89,86,100,13.31
241,Phuket,TH,2022-09-07 04:02:26,light rain,8.0,98.25,84.09,83,75,12.66
242,Kudahuvadhoo,MV,2022-09-07 04:03:31,overcast clouds,2.6708,72.8944,81.7,76,92,15.12
243,Kavieng,PG,2022-09-07 03:59:58,light rain,-2.5744,150.7967,84.63,67,54,8.75
244,Xiuyan,CN,2022-09-07 04:03:31,clear sky,40.2928,123.2744,76.3,54,0,4.25
245,Cherskiy,RU,2022-09-07 04:03:32,scattered clouds,68.75,161.3,57.33,39,41,16.15
246,Bonthe,SL,2022-09-07 04:03:32,moderate rain,7.5264,-12.505,74.68,93,100,4.88
247,Vallenar,CL,2022-09-07 04:03:32,clear sky,-28.5708,-70.7581,56.88,77,0,1.54
248,Sechura,PE,2022-09-07 04:03:33,clear sky,-5.5569,-80.8222,63.05,83,0,12.48
249,Saint-Joseph,RE,2022-09-07 04:03:33,few clouds,-21.3667,55.6167,69.21,68,19,8.1
250,Berlevag,NO,2022-09-07 04:03:34,overcast clouds,70.8578,29.0864,40.95,81,100,8.05
251,Havelock,US,2022-09-07 04:03:34,broken clouds,34.8791,-76.9013,80.58,95,75,0.0
252,Homer,US,2022-09-07 03:59:31,overcast clouds,59.6425,-151.5483,52.81,89,100,1.01
253,Delhi,IN,2022-09-07 04:00:31,haze,28.6667,77.2167,91.49,55,20,0.0
254,Ahipara,NZ,2022-09-07 04:03:35,scattered clouds,-35.1667,173.1667,57.63,54,26,1.83
255,Lakefield,US,2022-09-07 04:03:35,clear sky,43.6775,-95.1717,71.78,82,0,3.44
256,Brae,GB,2022-09-07 04:03:35,overcast clouds,60.3964,-1.353,57.85,78,100,19.89
257,Srednekolymsk,RU,2022-09-07 04:03:36,clear sky,67.45,153.6833,64.27,29,0,6.38
258,Victoria,HK,2022-09-07 04:00:27,overcast clouds,22.2855,114.1577,92.17,80,99,11.01
259,Plaster Rock,CA,2022-09-07 04:03:36,clear sky,46.9065,-67.39,52.32,89,0,0.85
260,Tucumcari,US,2022-09-07 04:03:36,clear sky,35.1717,-103.725,69.64,46,0,6.91
261,Pentecoste,BR,2022-09-07 04:03:37,few clouds,-3.7928,-39.2703,74.62,83,20,2.15
